Category,Canonical AssetId,MVP Required,Target Runtime Size,Source Size,Format,Status
Character,character.player_child,Yes,"512/768/1024 square frame tiers",2048x2048 preferred,RGBA PNG,Concept
Enemy,enemy.laundry_monster,Yes,"512/768/1024 square frame tiers",2048x2048 preferred,RGBA PNG,Candidate prototype reference included
Enemy,enemy.socklings,Yes,256-512 frames,512-1024 frames,RGBA PNG,Concept
Enemy,enemy.drawer_mimic,Yes,512 frames,2048x2048 preferred,RGBA PNG,Concept
Enemy,enemy.hanging_coat_stalker,Yes,512 frames,2048x2048 preferred,RGBA PNG,Concept
Enemy,enemy.dish_crawler,Yes,512 frames,2048x2048 preferred,RGBA PNG,Concept
Boss,boss.door_hoard,Yes,1024+ frames,4096x4096 preferred,RGBA PNG,Concept
Room,room.level01_bedroom,Yes,"1920x1080 / 2560x1440 / 3840x2160 layer tiers",5120x2880 preferred,PNG layers,Candidate concept reference included
Room,room.level01_hallway,Yes,"1920x1080 / 2560x1440 / 3840x2160 layer tiers",5120x2880 preferred,PNG layers,Concept
Room,room.level01_bathroom,Yes,"1920x1080 / 2560x1440 / 3840x2160 layer tiers",5120x2880 preferred,PNG layers,Concept
Room,room.level01_kitchen,Yes,"1920x1080 / 2560x1440 / 3840x2160 layer tiers",5120x2880 preferred,PNG layers,Concept
Room,room.level01_living_room_front_door,Yes,"1920x1080 / 2560x1440 / 3840x2160 layer tiers",5120x2880 preferred,PNG layers,Concept
UI,ui.hud_core,Yes,"128/256/512 icon tiers plus 9-slice panels",1024x1024 icons and scalable panels,PNG/SVG,Candidate concept reference included
VFX,vfx.flashlight_cone,Yes,"1920x1080 / 2560x1440 / 3840x2160 masks or shader",3840x2160 source,PNG/Shader,Concept
